"COMSOL_u","COMSOL_v","COMSOL_w","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.448,9.7918e-23,8.4249e-22,128.34,1,0,0,0.2,0.2
0.44823,9.4596e-05,-6.3653e-05,126.46,1,0.05,0.05,0.2,0.2
0.44679,0.00019942,-8.5046e-05,124.98,1,0.1,0.1,0.2,0.2
0.44477,0.00032557,-0.00010886,123.84,1,0.15,0.15,0.2,0.2
0.44146,0.00042223,-0.00012784,123.18,1,0.2,0.2,0.2,0.2
0.43387,0.00051381,-0.0002621,123.56,1,0.25,0.25,0.2,0.2
0.42316,0.00063033,-0.00056265,126.79,1,0.3,0.3,0.2,0.2
0.39297,0.0001128,-0.0013274,137.06,1,0.35,0.35,0.2,0.2
0.30365,-0.00089507,-0.0030566,166.34,1,0.4,0.4,0.2,0.2
3.1153e-08,3.3034e-08,-1.0412e-08,225.27,1,0.45,0.45,0.2,0.2
nan,nan,nan,nan,0,0.5,0.5,0.2,0.2
-2.3769e-09,-3.5177e-09,-1.3355e-10,54.388,1,0.55,0.55,0.2,0.2
-0.013739,0.0005393,0.0027447,56.508,1,0.6,0.6,0.2,0.2
0.023836,0.0012502,0.0030291,62.552,1,0.65,0.65,0.2,0.2
0.073481,0.001611,0.0029595,66.347,1,0.7,0.7,0.2,0.2
0.11951,0.0018076,0.001959,67.494,1,0.75,0.75,0.2,0.2
0.16145,0.0013372,0.0018823,66.818,1,0.8,0.8,0.2,0.2
0.1956,0.0016439,0.001547,65.103,1,0.85,0.85,0.2,0.2
0.22594,0.0013628,0.00090918,62.968,1,0.9,0.9,0.2,0.2
0.24826,0.0012297,0.00089571,60.734,1,0.95,0.95,0.2,0.2
0.26914,0.0011632,0.00060223,58.455,1,1,1,0.2,0.2
0.284,0.00082802,0.00052346,56.205,1,1.05,1.05,0.2,0.2
0.29863,0.00016157,0.00048919,53.983,1,1.1,1.1,0.2,0.2
0.31092,0.0010483,0.00018293,51.722,1,1.15,1.15,0.2,0.2
0.32183,0.00055901,0.00053746,49.628,1,1.2,1.2,0.2,0.2
0.33194,0.0005094,0.0001045,47.481,1,1.25,1.25,0.2,0.2
0.3409,-8.6493e-05,3.9062e-05,45.358,1,1.3,1.3,0.2,0.2
0.34745,8.6564e-06,0.00029998,43.227,1,1.35,1.35,0.2,0.2
0.35383,9.9704e-05,1.7586e-05,41.194,1,1.4,1.4,0.2,0.2
0.35807,6.6164e-05,-0.00020532,39.152,1,1.45,1.45,0.2,0.2
0.36409,-0.00025018,6.7482e-05,37.107,1,1.5,1.5,0.2,0.2
0.36966,-0.00012137,0.0001533,35.113,1,1.55,1.55,0.2,0.2
0.37382,-0.00023583,0.00014085,33.156,1,1.6,1.6,0.2,0.2
0.37735,-0.00040825,-1.438e-05,31.215,1,1.65,1.65,0.2,0.2
0.38039,-0.00029274,0.00020714,29.26,1,1.7,1.7,0.2,0.2
0.38379,-0.00047883,-8.0742e-06,27.368,1,1.75,1.75,0.2,0.2
0.38598,-0.00059404,-9.6078e-05,25.474,1,1.8,1.8,0.2,0.2
0.38936,-0.00049177,-6.5428e-05,23.577,1,1.85,1.85,0.2,0.2
0.39139,-0.00054595,-3.9987e-05,21.705,1,1.9,1.9,0.2,0.2
0.39406,-0.00053877,-4.7227e-05,19.839,1,1.95,1.95,0.2,0.2
0.39554,-0.00052177,4.9325e-05,17.995,1,2,2,0.2,0.2
0.39682,-0.00040081,-0.0001392,16.131,1,2.05,2.05,0.2,0.2
0.39855,-0.00028214,5.8523e-05,14.285,1,2.1,2.1,0.2,0.2
0.40141,-0.00029458,0.00012434,12.441,1,2.15,2.15,0.2,0.2
0.40223,-0.00023463,0.00011016,10.592,1,2.2,2.2,0.2,0.2
0.4035,-0.00019562,9.8416e-05,8.7655,1,2.25,2.25,0.2,0.2
0.40561,-0.00010651,0.00012875,6.9412,1,2.3,2.3,0.2,0.2
0.40625,-6.9978e-05,0.00017938,5.1383,1,2.35,2.35,0.2,0.2
0.40659,-5.9222e-05,0.00011999,3.3306,1,2.4,2.4,0.2,0.2
0.40776,-0.00011343,0.00021757,1.6149,1,2.45,2.45,0.2,0.2
0.40684,-0.00043456,-0.00015176,0.30402,1,2.5,2.5,0.2,0.2
