ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S22
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,           490,       4.09623,       1.95382,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   891.671E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,           491,       3.97383,       2.07189,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   943.399E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,           492,       3.86433,       1.94605,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",       1.01569
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           100,       4.75482,       1.78077,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   433.202E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           101,       4.67740,       1.50175,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   321.891E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           125,       4.51962,       1.65479,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   544.716E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           164,       4.54317,       1.83157,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   577.972E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           493,       4.59851,       1.57827,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   436.344E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           494,       4.71611,       1.64126,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   374.670E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           495,       4.64900,       1.80617,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   508.372E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,           496,       4.53140,       1.74318,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   561.615E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,             3,       4.74118,   965.926E-03,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",  -81.0466E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,             7,            5.,            1.,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",  -37.7791E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            40,            5.,          1.25,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",  -51.7245E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           126,       4.70218,       1.21213,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   100.344E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           497,            5.,         1.125,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",  -54.1881E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           498,       4.85109,       1.23107,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   22.6413E-03
D:/Jiaxi_Xie/3D/stress_concentration/2D_Abaqus_Result.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,           499,       4.72168,       1.08903,            0.,"ASSEMBLY_PART-1-1_SET-3","MATERIAL-1","",   6.14063E-03
