y,u
1.0000,	1.00000
0.9766,	0.48223
0.9688,	0.46120
0.9609,	0.45992
0.9531,	0.46036
0.8516,	0.33556
0.7344,	0.20087
0.6172,	0.08183
0.5000,	-0.03039
0.4531,	-0.07404
0.2813,	-0.22855
0.1719,	-0.33050
0.1016,	-0.40435
0.0703,	-0.43643
0.0625,	-0.42901
0.0547,	-0.41165
0.0000,	0.00000
